Taxi Driver,113,8.3
Monty Python and the Holy Grail,91,8.2
Life of Brian,94,8
The Exorcist,133,8.1
Monty Python's Flying Circus,30,8.8
Dirty Harry,102,7.7
My Fair Lady,170,7.8
The Blue Lagoon,104,5.8
Bonnie and Clyde,110,7.7
The Professionals,117,7.3
The Guns of Navarone,158,7.5
Lupin the Third: The Castle of Cagliostro,100,7.6
Richard Pryor: Live in Concert,78,8.1
The Long Riders,99,6.9
White Christmas,115,7.5
Cairo Station,77,7.5
The Queen,68,7.2
Hitler: A Career,150,7.5
FTA,97,6.2
Saladin the Victorious,186,7.6
Singapore,158,6.4
Dark Waters,120,6.7
Alexandriaâ€¦ Why?,133,7.2
Raya and Sakina,105,6.8
No Longer Kids,235,9
Amrapali,120,6.7
Dostana,161,2.1
The Blazing Sun,100,7.4
Monty Python's Fliegender Zirkus,43,8.1
The Return of the Prodigal Son,124,7.2
Prince,152,6.9
Manoranjan,162,6.5
"Beirut, Oh Beirut",110,6.5
We Are All for the Fatherland,74,6.2
Whispers,93,7.8
Lal Patthar,153,6.2
Ujala,142,6.7
Alibaba Aur 40 Chor,138,6.2
Professor,163,6.8
Chadi Jawani Budhe Nu,135,4.6
Bandie,141,4.2
Khoon Khoon,131,5.1
Top Gun,110,6.9
Seinfeld,24,8.9
Stand by Me,89,8.1
Once Upon a Time in America,229,8.3
When Harry Met Sally...,96,7.7
Teenage Mutant Ninja Turtles,93,6.7
Full Metal Jacket,116,8.3
Christine,90,6.7
A Nightmare on Elm Street,91,7.4
Knight Rider,51,6.9
Awakenings,120,7.8
Thomas & Friends,10,6.5
Annie,127,6.6
Pet Sematary,103,6.5
Saved by the Bell,23,7.1
She's Gotta Have It,84,6.7
Eddie Murphy Raw,93,7.6
Endless Love,116,4.9
Wheel of Fortune,26,6.7
Major Dad,24,6.4
Fireman Sam,10,6.1
Danger Mouse,15,7.4
Mobile Suit Gundam II: Soldiers of Sorrow,133,7.2
Mobile Suit Gundam: Char's Counterattack,120,7.3
Sam Kinison: Breaking the Rules,50,7.2
Tim Allen: Men Are Pigs,30,6
Monty Python Live at the Hollywood Bowl,77,7.9
The George McKenna Story,100,6
Unspeakable Acts,100,6
Waiting for the Hearse,87,8
Mobile Suit Gundam III: Encounters in Space,144,7.7
Agneepath,174,7.6
Parrot Sketch Not Included: Twenty Years of Monty Python,72,8.1
Too Young The Hero,100,6.7
Adam: His Song Continues,100,7
Disco Dancer,134,6.5
The Ryan White Story,102,7.2
In Defense of a Married Man,94,5.6
Dil,172,6.6
Bye Bye London,170,8.7
Quiet Victory: The Charlie Wedemeyer Story,100,7.1
"Alexandria, Again and Forever",105,6.5
Strange Voices,100,6.3
Aakhri Adaalat,148,5.1
A Stoning in Fulham County,120,5.8
Muqaddar Ka Faisla,172,4.8
Sohni Mahiwal,160,6.1
The Little Wars,108,6.3
Duniya,170,6.2
High Risk,50,3.8
Pyar Ke Do Pal,153,6.1
Jaal,159,5.2
Mujrim,162,5.4
An Egyptian Story,129,7.3
Ek Jaan Hain Hum,151,6.3
The Quick and the Dead,107,6.5
Survivor,48,7.4
Stargate SG-1,44,8.4
PokÃ©mon,22,7.6
Forrest Gump,142,8.8
Happy Gilmore,92,7
One Piece,23,8.8
Saving Private Ryan,169,8.6
Cowboy Bebop,25,8.9
Star Trek: Deep Space Nine,47,8.1
The Challenge,40,7.8
Gattaca,106,7.8
Gilmore Girls,46,8.2
Blade,120,7.1
You've Got Mail,119,6.7
Starship Troopers,129,7.3
Neon Genesis Evangelion,24,8.5
The Magic School Bus,26,7.8
Donnie Brasco,127,7.7
Power Rangers,22,6.5
U.S. Marshals,126,6.5
Adventures of Sonic the Hedgehog,22,6.2
Wild Things,108,6.6
Last Action Hero,130,6.4
Seven Years in Tibet,136,7.1
The Devil's Advocate,144,7.5
A River Runs Through It,123,7.2
"Girl, Interrupted",127,7.3
Goosebumps,22,7.6
